manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Elara India,OMAXE LTD.,INE800H01010,2017-12-31,6391512,3.49,2018-01-19,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2017-09-30,6411512,3.51,2017-10-18,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2017-06-30,5652538,3.09,2017-07-18,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2017-03-31,4652538,2.54,2017-04-14,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2016-12-31,4652538,2.54,2017-01-13,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2016-09-30,4652538,2.54,2016-10-19,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2015-12-31,4652538,2.54,2016-01-22,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2016-06-30,101153040,3.03,2016-07-21,Threshold Routine
Elara India,BANSWARA SYNTEX LTD.-$,INE629D01012,2019-06-30,658780,3.85,2019-07-22,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2016-12-31,113392540,3.24,2017-01-09,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2017-03-31,118967313,3.08,2017-04-13,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2017-06-30,120165313,3.12,2017-07-18,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2017-09-30,119650313,3.1,2017-10-17,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2017-12-31,120090313,3.11,2018-01-29,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2018-03-31,127642397,3.31,2018-04-19,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2018-06-30,127642397,3.31,2018-07-19,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2018-09-30,127282397,3.3,2018-10-11,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2018-12-31,117045467,3.03,2019-01-16,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2017-12-31,1742584,1.2,2018-01-19,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2017-09-30,1517645,1.1,2017-10-13,Threshold Routine
Steadview,Syngene International Ltd,INE398R01022,2017-09-30,3007993,1.5,2017-10-11,Threshold Routine
Steadview,Syngene International Ltd,INE398R01022,2017-06-30,3007993,1.5,2017-07-12,Threshold Routine
Steadview,V-MART RETAIL LTD.,INE665J01013,2018-09-30,392816,2.17,2018-10-05,Threshold Routine
Steadview,V-GUARD INDUSTRIES LTD.,INE951I01027,2015-12-31,1095250,3.65,2016-01-23,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2015-12-31,4393124,3.67,2016-02-07,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2016-12-31,4718624,3.94,2017-01-13,Threshold Routine
Steadview,NATCO PHARMA LTD.,INE987B01026,2018-12-31,2322581,1.26,2019-01-24,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2018-09-30,3737692,2.56,2018-10-09,Threshold Routine
Steadview,SHRIRAM CITY UNION FINANCE LTD.,INE722A01011,2016-06-30,944208,1.43,2016-07-25,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2017-12-31,1994494,3.59,2018-01-20,Threshold Routine
Steadview,SORIL Infra Resources Ltd,INE034H01016,2018-12-31,3118500,9.9,2019-01-17,Threshold Routine
Steadview,ASTRAL POLY TECHNIK LTD.,INE006I01046,2017-03-31,4718624,3.94,2017-04-08,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2016-06-30,2392036,4.31,2016-07-19,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2018-06-30,5158988,4.65,2018-07-18,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2018-03-31,3988988,3.59,2018-04-20,Threshold Routine
Steadview,SORIL Infra Resources Ltd,INE034H01016,2019-03-31,3118500,9.9,2019-04-17,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2018-09-30,4976899,4.48,2018-10-16,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2018-12-31,1303715,1.17,2019-01-24,Threshold Routine
Steadview,PAGE INDUSTRIES LTD.,INE761H01022,2015-12-31,341125,3.06,2016-01-25,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2019-03-31,3864493,2.65,2019-05-03,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2019-09-30,3256693,2.22,2019-10-07,Threshold Routine
Steadview,Quess Corp Ltd,INE615P01015,2019-12-31,2901693,1.97,2020-01-13,Threshold Routine
Steadview,RBL Bank Ltd,INE976G01028,2017-12-31,4704420,1.13,2018-01-17,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2017-09-30,127875,1.13,2017-10-11,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2017-12-31,153875,1.36,2018-01-11,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2018-03-31,153875,1.36,2018-04-14,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2018-06-30,192191,1.7,2018-07-17,Threshold Routine
Steadview,Dixon Technologies (India) Ltd,INE935N01012,2018-09-30,192191,1.7,2018-10-08,Threshold Routine
Steadview,LA OPALA RG LTD.,INE059D01020,2016-09-30,2392036,4.31,2016-10-19,Threshold Routine
Steadview,SORIL Infra Resources Ltd,INE034H01016,2019-06-30,3143600,9.98,2019-07-19,Threshold Routine
Steadview,Indiabulls Integrated Services Ltd,INE126M01010,2018-09-30,8253187,9.24,2018-10-17,Threshold Routine
Steadview,SORIL Infra Resources Ltd,INE034H01016,2019-12-31,3143600,9.98,2020-01-17,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2016-06-30,1566722,1.97,2016-07-08,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2016-09-30,1665991,2.1,2016-10-14,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2016-12-31,3331982,2.1,2017-01-12,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2017-03-31,1944320,1.22,2017-04-17,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2017-06-30,1944320,1.22,2017-07-18,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2017-09-30,1944320,1.22,2017-10-17,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2017-12-31,1944320,1.22,2018-01-16,Threshold Routine
Steadview,KAJARIA CERAMICS LTD.,INE217B01036,2018-03-31,1744320,1.1,2018-04-12,Threshold Routine
Steadview,DFM FOODS LTD.,INE456C01020,2016-06-30,305318,3.05,2016-07-19,Threshold Routine
Steadview,DFM FOODS LTD.,INE456C01020,2016-09-30,305318,3.05,2016-10-18,Threshold Routine
